,valence_image,arousal_image,dominance_image,focus_image,participant,stimulus_image
55,-231,148,-149,164,LLM138,TTI_image_afraid10.png
56,-66,133,-118,140,LLM138,TTI_image_sad5.png
57,138,136,197,-135,LLM138,TTI_image_satisfied9.png
58,-31,-12,105,-28,LLM138,TTI_image_mdisgust1.png
59,-209,18,228,-205,LLM138,TTI_image_ranger1.png
60,2,-153,2,-153,LLM138,TTI_image_gratitude4.png
61,-5,-199,-1,-229,LLM138,TTI_image_relaxed2.png
62,-3,-2,3,-235,LLM138,TTI_image_elevation5.png
63,-245,133,245,121,LLM138,TTI_image_disgust1.png
64,21,-179,-220,-199,LLM138,TTI_image_sleepy2.png
65,-19,-29,51,-122,LLM138,TTI_image_surprise2.png
66,-221,21,-218,21,LLM138,TTI_image_anger4.png
67,-208,67,-169,66,LLM138,TTI_image_embarrass5.png
68,-152,117,-246,100,LLM138,TTI_image_guilt4.png
69,235,-231,215,35,LLM138,TTI_image_happy5.png
70,-166,93,241,45,LLM138,TTI_image_contempt5.png
71,-2,-196,-200,-204,LLM138,TTI_image_pride4.png
72,-237,238,-233,232,LLM015,TTI_image_contempt5.png
73,229,94,220,96,LLM015,TTI_image_satisfied9.png
74,-233,190,231,152,LLM015,TTI_image_afraid10.png
75,154,235,238,224,LLM015,TTI_image_elevation5.png
76,69,158,243,-173,LLM015,TTI_image_pride4.png
77,-241,-237,-249,-179,LLM015,TTI_image_sad5.png
78,172,209,237,174,LLM015,TTI_image_surprise2.png
79,-236,130,238,239,LLM015,TTI_image_disgust1.png
80,-233,-238,-229,-32,LLM015,TTI_image_guilt4.png
81,-240,-181,-241,-238,LLM015,TTI_image_embarrass5.png
82,-137,245,216,151,LLM015,TTI_image_ranger1.png
83,14,-234,-237,-235,LLM015,TTI_image_gratitude4.png
84,14,-240,-238,-239,LLM015,TTI_image_relaxed2.png
85,-237,71,238,200,LLM015,TTI_image_shame2.png
86,-182,224,233,234,LLM015,TTI_image_anger4.png
87,76,-236,-202,-233,LLM015,TTI_image_sleepy2.png
88,226,-95,240,-234,LLM015,TTI_image_happy5.png
89,-125,107,-3,240,LLM015,TTI_image_mdisgust1.png
90,-206,196,-167,150,LLM151,TTI_image_embarrass5.png
91,-202,-180,-187,194,LLM151,TTI_image_sad5.png
92,189,204,-58,198,LLM151,TTI_image_anger4.png
93,200,218,-127,174,LLM151,TTI_image_ranger1.png
94,161,179,174,172,LLM151,TTI_image_surprise2.png
95,169,-154,-221,-219,LLM151,TTI_image_happy5.png
96,200,17,-227,217,LLM151,TTI_image_elevation5.png
97,-2,-1,-194,-212,LLM151,TTI_image_gratitude4.png
98,-233,-188,-242,-1,LLM151,TTI_image_afraid10.png
99,-6,-239,-230,-1,LLM151,TTI_image_sleepy2.png
100,-206,-213,-219,-2,LLM151,TTI_image_guilt4.png
101,-247,1,-225,229,LLM151,TTI_image_disgust1.png
102,230,-1,-3,3,LLM151,TTI_image_satisfied9.png
103,-209,-93,-235,-1,LLM151,TTI_image_shame2.png
104,198,-227,1,-228,LLM151,TTI_image_pride4.png
105,-217,-195,-226,-231,LLM151,TTI_image_mdisgust1.png
106,0,245,0,245,LLM151,TTI_image_contempt5.png
107,2,-240,-232,1,LLM151,TTI_image_relaxed2.png
108,-232,58,-235,194,480464,TTI_image_afraid10.png
109,32,-232,224,31,480464,TTI_image_relaxed2.png
110,-219,197,-229,-28,480464,TTI_image_sad5.png
111,-200,18,229,48,480464,TTI_image_embarrass5.png
112,-232,228,71,13,480464,TTI_image_disgust1.png
113,203,-31,-158,23,480464,TTI_image_surprise2.png
114,-224,29,-189,194,480464,TTI_image_ranger1.png
115,-236,234,26,235,480464,TTI_image_anger4.png
116,18,-27,62,34,480464,TTI_image_elevation5.png
117,-198,49,-188,225,480464,TTI_image_contempt5.png
118,38,-224,180,-41,480464,TTI_image_satisfied9.png
119,-26,-226,14,-21,480464,TTI_image_gratitude4.png
120,44,-223,117,-45,480464,TTI_image_sleepy2.png
121,-215,-30,117,42,480464,TTI_image_mdisgust1.png
122,-53,-49,-35,-90,480464,TTI_image_guilt4.png
123,-34,34,48,121,480464,TTI_image_shame2.png
124,-54,-117,62,-121,480464,TTI_image_pride4.png
125,21,-222,224,-34,480464,TTI_image_happy5.png
126,-151,87,-151,87,LLM156,TTI_image_surprise2.png
127,-183,178,-154,183,LLM156,TTI_image_sleepy2.png
128,-249,225,-214,-187,LLM156,TTI_image_mdisgust1.png
129,242,247,-248,249,LLM156,TTI_image_happy5.png
130,-243,245,-244,245,LLM156,TTI_image_ranger1.png
131,85,242,-142,196,LLM156,TTI_image_relaxed2.png
132,-247,248,-247,248,LLM156,TTI_image_anger4.png
133,-245,-74,249,245,LLM156,TTI_image_guilt4.png
134,-234,-53,239,243,LLM156,TTI_image_afraid10.png
135,-242,244,-238,241,LLM156,TTI_image_contempt5.png
136,-228,108,218,242,LLM156,TTI_image_disgust1.png
137,238,83,-229,-73,LLM156,TTI_image_gratitude4.png
138,-229,-2,215,207,LLM156,TTI_image_embarrass5.png
139,80,249,-237,248,LLM156,TTI_image_elevation5.png
140,-211,-90,-209,218,LLM156,TTI_image_sad5.png
141,160,248,-153,-139,LLM156,TTI_image_pride4.png
142,66,-86,-127,162,LLM156,TTI_image_satisfied9.png
143,-194,-86,-203,183,LLM156,TTI_image_shame2.png
144,230,228,-206,207,LLM082,TTI_image_satisfied9.png
145,217,219,-227,224,LLM082,TTI_image_relaxed2.png
146,-235,231,228,222,LLM082,TTI_image_disgust1.png
147,0,-2,0,-2,LLM082,TTI_image_gratitude4.png
148,-223,224,-218,213,LLM082,TTI_image_contempt5.png
149,174,172,-201,183,LLM082,TTI_image_surprise2.png
150,-125,222,-125,222,LLM082,TTI_image_ranger1.png
151,60,213,-181,-169,LLM082,TTI_image_elevation5.png
152,-220,35,-212,-187,LLM082,TTI_image_sad5.png
153,-200,223,205,-215,LLM082,TTI_image_anger4.png
154,-205,233,-214,-215,LLM082,TTI_image_afraid10.png
155,21,-220,37,-206,LLM082,TTI_image_sleepy2.png
156,-172,124,-172,124,LLM082,TTI_image_mdisgust1.png
157,-205,144,-196,-134,LLM082,TTI_image_guilt4.png
158,204,215,121,148,LLM082,TTI_image_happy5.png
159,-231,237,-211,-216,LLM082,TTI_image_embarrass5.png
160,-199,221,-209,-195,LLM082,TTI_image_shame2.png
161,146,184,121,144,LLM082,TTI_image_pride4.png
162,111,22,61,118,LLM105,TTI_image_elevation5.png
163,-44,-65,-58,19,LLM105,TTI_image_contempt5.png
164,12,22,-6,39,LLM105,TTI_image_pride4.png
165,67,-65,58,51,LLM105,TTI_image_happy5.png
166,82,28,12,-19,LLM105,TTI_image_satisfied9.png
167,-195,-36,-64,31,LLM105,TTI_image_afraid10.png
168,61,-39,17,31,LLM105,TTI_image_shame2.png
169,-73,-10,-105,45,LLM105,TTI_image_ranger1.png
170,-9,10,23,-7,LLM105,TTI_image_mdisgust1.png
171,23,31,26,-54,LLM105,TTI_image_disgust1.png
172,-64,1,-105,65,LLM105,TTI_image_sad5.png
173,17,22,108,-16,LLM105,TTI_image_sleepy2.png
174,-119,-33,-70,57,LLM105,TTI_image_embarrass5.png
175,15,-10,61,36,LLM105,TTI_image_anger4.png
176,15,28,-9,-7,LLM105,TTI_image_surprise2.png
177,29,-19,17,48,LLM105,TTI_image_guilt4.png
178,-195,-74,-140,57,LLM105,TTI_image_gratitude4.png
179,87,60,76,10,LLM105,TTI_image_relaxed2.png
180,-100,-3,98,24,LLM108,TTI_image_satisfied9.png
181,111,-81,-41,60,LLM108,TTI_image_disgust1.png
182,-90,-100,-103,33,LLM108,TTI_image_ranger1.png
183,-220,38,-103,33,LLM108,TTI_image_embarrass5.png
184,65,3,71,-84,LLM108,TTI_image_pride4.png
185,30,-43,79,-71,LLM108,TTI_image_gratitude4.png
186,-187,117,-52,-11,LLM108,TTI_image_sad5.png
187,-71,-73,-60,30,LLM108,TTI_image_mdisgust1.png
188,168,-35,117,68,LLM108,TTI_image_sleepy2.png
189,-54,-71,-73,57,LLM108,TTI_image_guilt4.png
190,54,-147,71,22,LLM108,TTI_image_happy5.png
191,-81,-60,-81,30,LLM108,TTI_image_afraid10.png
192,176,76,-52,65,LLM108,TTI_image_relaxed2.png
193,204,-49,171,79,LLM108,TTI_image_shame2.png
194,138,-79,144,46,LLM108,TTI_image_anger4.png
195,-62,43,-54,-11,LLM108,TTI_image_elevation5.png
196,-65,106,-57,24,LLM108,TTI_image_contempt5.png
197,81,35,109,-98,LLM108,TTI_image_surprise2.png
198,-19,-26,-55,31,LLM107,TTI_image_gratitude4.png
199,107,-46,93,-133,LLM107,TTI_image_satisfied9.png
200,3,-31,14,7,LLM107,TTI_image_disgust1.png
201,-55,-12,-57,23,LLM107,TTI_image_contempt5.png
202,60,-18,46,42,LLM107,TTI_image_guilt4.png
203,55,-31,46,34,LLM107,TTI_image_anger4.png
204,38,48,-22,-18,LLM107,TTI_image_mdisgust1.png
205,-19,10,-22,-15,LLM107,TTI_image_ranger1.png
206,36,40,36,40,LLM107,TTI_image_pride4.png
207,-30,-10,-41,45,LLM107,TTI_image_relaxed2.png
208,-30,23,-49,-37,LLM107,TTI_image_afraid10.png
209,52,23,46,-12,LLM107,TTI_image_elevation5.png
210,-38,45,-77,-53,LLM107,TTI_image_shame2.png
211,-25,4,-38,62,LLM107,TTI_image_embarrass5.png
212,120,-67,11,-21,LLM107,TTI_image_sleepy2.png
213,-44,-1,-30,56,LLM107,TTI_image_surprise2.png
214,60,-23,46,29,LLM107,TTI_image_happy5.png
215,-63,72,-68,-10,LLM107,TTI_image_sad5.png
216,-20,26,-29,55,LLM013,TTI_image_disgust1.png
217,55,-6,35,58,LLM013,TTI_image_relaxed2.png
218,55,41,58,-70,LLM013,TTI_image_happy5.png
219,-120,70,-50,-61,LLM013,TTI_image_surprise2.png
220,-152,143,-126,0,LLM013,TTI_image_embarrass5.png
221,44,53,-143,47,LLM013,TTI_image_guilt4.png
222,41,3,32,35,LLM013,TTI_image_gratitude4.png
223,-64,58,-47,-64,LLM013,TTI_image_contempt5.png
224,76,-6,85,-85,LLM013,TTI_image_elevation5.png
225,-18,-55,-53,55,LLM013,TTI_image_mdisgust1.png
226,-146,-38,-146,-38,LLM013,TTI_image_sad5.png
227,-137,111,-96,-18,LLM013,TTI_image_anger4.png
228,-105,-44,-61,64,LLM013,TTI_image_afraid10.png
229,-123,55,-111,-73,LLM013,TTI_image_ranger1.png
230,82,102,90,0,LLM013,TTI_image_sleepy2.png
231,120,0,120,79,LLM013,TTI_image_pride4.png
232,-126,12,-111,79,LLM013,TTI_image_shame2.png
233,41,58,58,-32,LLM013,TTI_image_satisfied9.png
234,95,-42,92,55,LLM109,TTI_image_afraid10.png
235,-5,-126,-14,72,LLM109,TTI_image_gratitude4.png
236,43,-47,51,7,LLM109,TTI_image_sleepy2.png
237,-32,-96,-106,61,LLM109,TTI_image_mdisgust1.png
238,235,-148,233,12,LLM109,TTI_image_embarrass5.png
239,119,-66,122,26,LLM109,TTI_image_anger4.png
240,89,-93,76,61,LLM109,TTI_image_guilt4.png
241,35,-61,60,18,LLM109,TTI_image_satisfied9.png
242,-100,-110,114,26,LLM109,TTI_image_relaxed2.png
243,-60,-9,-62,53,LLM109,TTI_image_ranger1.png
244,62,-31,111,58,LLM109,TTI_image_contempt5.png
245,-125,55,-125,55,LLM109,TTI_image_sad5.png
246,-95,15,-30,-58,LLM109,TTI_image_happy5.png
247,119,-58,116,39,LLM109,TTI_image_pride4.png
248,143,-156,171,39,LLM109,TTI_image_disgust1.png
249,-84,-47,-68,34,LLM109,TTI_image_shame2.png
250,41,118,-5,7,LLM109,TTI_image_surprise2.png
251,165,53,-19,34,LLM109,TTI_image_elevation5.png
252,110,-57,-45,93,LLM106,TTI_image_guilt4.png
253,-11,25,-48,82,LLM106,TTI_image_afraid10.png
254,133,68,139,-85,LLM106,TTI_image_happy5.png
255,82,17,-14,31,LLM106,TTI_image_disgust1.png
256,122,93,0,76,LLM106,TTI_image_sleepy2.png
257,-127,57,-96,-17,LLM106,TTI_image_anger4.png
258,-34,-37,-65,0,LLM106,TTI_image_shame2.png
259,3,37,-51,11,LLM106,TTI_image_ranger1.png
260,6,-37,-48,65,LLM106,TTI_image_surprise2.png
261,195,71,-51,110,LLM106,TTI_image_relaxed2.png
262,-37,82,-6,-59,LLM106,TTI_image_sad5.png
263,57,25,99,96,LLM106,TTI_image_contempt5.png
264,-105,-11,-99,45,LLM106,TTI_image_elevation5.png
265,-42,-68,-17,57,LLM106,TTI_image_embarrass5.png
266,158,-23,167,113,LLM106,TTI_image_pride4.png
267,-116,45,226,71,LLM106,TTI_image_mdisgust1.png
268,218,-3,195,42,LLM106,TTI_image_gratitude4.png
269,116,20,116,20,LLM106,TTI_image_satisfied9.png
306,-108,51,-124,-44,LLM002,TTI_image_contempt5.png
307,-95,-83,-104,34,LLM002,TTI_image_pride4.png
308,-65,-41,-101,67,LLM002,TTI_image_ranger1.png
309,29,-47,-52,31,LLM002,TTI_image_gratitude4.png
310,104,-67,78,86,LLM002,TTI_image_sleepy2.png
311,62,93,-157,-54,LLM002,TTI_image_embarrass5.png
312,3,38,-59,-60,LLM002,TTI_image_relaxed2.png
313,-52,38,-52,-57,LLM002,TTI_image_sad5.png
314,7,-100,-78,80,LLM002,TTI_image_shame2.png
315,127,-70,65,93,LLM002,TTI_image_happy5.png
316,72,18,-46,-73,LLM002,TTI_image_anger4.png
317,-52,64,-52,64,LLM002,TTI_image_surprise2.png
318,-23,-54,-62,64,LLM002,TTI_image_afraid10.png
319,-173,90,-134,-64,LLM002,TTI_image_mdisgust1.png
320,-124,57,-124,-44,LLM002,TTI_image_disgust1.png
321,-36,-148,-42,47,LLM002,TTI_image_guilt4.png
322,140,34,150,-28,LLM002,TTI_image_satisfied9.png
323,189,-67,-82,-96,LLM002,TTI_image_elevation5.png
324,-136,12,-136,12,LLM125,TTI_image_disgust1.png
325,6,33,103,-181,LLM125,TTI_image_relaxed2.png
326,-163,12,-3,-75,LLM125,TTI_image_embarrass5.png
327,-6,15,-78,-81,LLM125,TTI_image_afraid10.png
328,-15,-91,12,-9,LLM125,TTI_image_mdisgust1.png
329,100,166,48,-48,LLM125,TTI_image_anger4.png
330,-36,36,-15,87,LLM125,TTI_image_contempt5.png
331,-175,48,-94,-103,LLM125,TTI_image_guilt4.png
332,-133,-6,-130,60,LLM125,TTI_image_sad5.png
333,54,-60,115,60,LLM125,TTI_image_surprise2.png
334,24,115,-75,-27,LLM125,TTI_image_pride4.png
335,57,-60,81,48,LLM125,TTI_image_happy5.png
336,39,45,57,-63,LLM125,TTI_image_shame2.png
337,78,-6,69,66,LLM125,TTI_image_elevation5.png
338,127,-36,109,60,LLM125,TTI_image_satisfied9.png
339,109,69,163,-45,LLM125,TTI_image_gratitude4.png
340,18,-51,42,24,LLM125,TTI_image_sleepy2.png
341,-136,103,-136,-51,LLM125,TTI_image_ranger1.png
342,97,144,138,-23,LLM103,TTI_image_elevation5.png
343,-170,-103,-156,41,LLM103,TTI_image_disgust1.png
344,-82,223,-85,-50,LLM103,TTI_image_contempt5.png
345,-176,126,-112,-50,LLM103,TTI_image_anger4.png
346,68,62,82,129,LLM103,TTI_image_sleepy2.png
347,167,56,-6,-23,LLM103,TTI_image_mdisgust1.png
348,35,188,-106,-47,LLM103,TTI_image_gratitude4.png
349,79,38,68,-41,LLM103,TTI_image_embarrass5.png
350,-144,38,-144,-56,LLM103,TTI_image_relaxed2.png
351,-41,129,-91,117,LLM103,TTI_image_shame2.png
352,205,82,170,-3,LLM103,TTI_image_surprise2.png
353,-244,0,-88,-12,LLM103,TTI_image_satisfied9.png
354,109,-82,100,59,LLM103,TTI_image_happy5.png
355,85,-38,85,68,LLM103,TTI_image_pride4.png
356,76,3,-109,44,LLM103,TTI_image_ranger1.png
357,109,100,-117,88,LLM103,TTI_image_guilt4.png
358,-114,-18,-141,35,LLM103,TTI_image_afraid10.png
359,-120,88,-126,-44,LLM103,TTI_image_sad5.png
360,-67,115,-96,-22,LLM102,TTI_image_afraid10.png
361,-76,82,-73,-37,LLM102,TTI_image_anger4.png
362,-222,21,-149,-58,LLM102,TTI_image_embarrass5.png
363,29,-23,20,18,LLM102,TTI_image_happy5.png
364,152,50,117,47,LLM102,TTI_image_sleepy2.png
365,120,76,-82,-37,LLM102,TTI_image_guilt4.png
366,44,103,-52,-64,LLM102,TTI_image_elevation5.png
367,87,6,128,97,LLM102,TTI_image_surprise2.png
368,-236,-154,-82,-11,LLM102,TTI_image_gratitude4.png
369,-117,-58,26,65,LLM102,TTI_image_contempt5.png
370,-38,65,70,-26,LLM102,TTI_image_mdisgust1.png
371,-50,6,-61,65,LLM102,TTI_image_sad5.png
372,-67,71,-52,-40,LLM102,TTI_image_disgust1.png
373,38,47,73,-69,LLM102,TTI_image_pride4.png
374,-90,3,-50,94,LLM102,TTI_image_ranger1.png
375,-87,65,-87,65,LLM102,TTI_image_shame2.png
376,12,-49,12,27,LLM102,TTI_image_relaxed2.png
377,82,-107,131,76,LLM102,TTI_image_satisfied9.png
378,-61,1,-79,-54,LLM120,TTI_image_contempt5.png
379,-241,10,-201,-67,LLM120,TTI_image_ranger1.png
380,41,56,62,-85,LLM120,TTI_image_happy5.png
381,-73,-110,-189,-27,LLM120,TTI_image_surprise2.png
382,16,-119,-195,108,LLM120,TTI_image_disgust1.png
383,-54,53,-8,-33,LLM120,TTI_image_embarrass5.png
384,-113,47,-103,-36,LLM120,TTI_image_sleepy2.png
385,-67,-91,-116,16,LLM120,TTI_image_gratitude4.png
386,-21,-116,-91,56,LLM120,TTI_image_anger4.png
387,59,-51,4,38,LLM120,TTI_image_guilt4.png
388,77,-54,71,28,LLM120,TTI_image_elevation5.png
389,-18,-140,47,10,LLM120,TTI_image_afraid10.png
390,34,-125,31,10,LLM120,TTI_image_mdisgust1.png
391,-100,-85,-171,77,LLM120,TTI_image_shame2.png
392,-229,-42,-229,71,LLM120,TTI_image_sad5.png
393,71,-48,38,59,LLM120,TTI_image_relaxed2.png
394,90,-140,59,71,LLM120,TTI_image_pride4.png
395,151,-82,62,59,LLM120,TTI_image_satisfied9.png
396,61,28,90,-77,LLM100,TTI_image_elevation5.png
397,32,-5,75,39,LLM100,TTI_image_gratitude4.png
398,-197,-83,-122,85,LLM100,TTI_image_sad5.png
399,38,82,-84,-13,LLM100,TTI_image_ranger1.png
400,107,74,-145,74,LLM100,TTI_image_contempt5.png
401,165,-71,55,59,LLM100,TTI_image_disgust1.png
402,-159,-34,-116,74,LLM100,TTI_image_surprise2.png
403,17,-2,-38,21,LLM100,TTI_image_afraid10.png
404,-168,-77,-23,48,LLM100,TTI_image_happy5.png
405,-72,-5,29,45,LLM100,TTI_image_guilt4.png
406,72,30,90,-25,LLM100,TTI_image_mdisgust1.png
407,-23,117,-52,19,LLM100,TTI_image_anger4.png
408,26,-86,55,56,LLM100,TTI_image_satisfied9.png
409,23,36,32,-28,LLM100,TTI_image_pride4.png
410,14,-13,14,79,LLM100,TTI_image_relaxed2.png
411,58,103,67,-71,LLM100,TTI_image_sleepy2.png
412,90,-100,107,94,LLM100,TTI_image_embarrass5.png
413,-67,114,-75,-48,LLM100,TTI_image_shame2.png
414,1,-30,-248,-248,LLM147,TTI_image_mdisgust1.png
415,-1,32,-249,-241,LLM147,TTI_image_elevation5.png
416,-134,29,-249,-194,LLM147,TTI_image_shame2.png
417,-250,87,-250,-22,LLM147,TTI_image_disgust1.png
418,-247,89,-250,-1,LLM147,TTI_image_contempt5.png
419,-46,-184,-247,-246,LLM147,TTI_image_gratitude4.png
420,183,37,-248,-247,LLM147,TTI_image_pride4.png
421,125,-127,-249,-245,LLM147,TTI_image_sleepy2.png
422,-1,23,-247,-249,LLM147,TTI_image_surprise2.png
423,0,-2,-221,-249,LLM147,TTI_image_embarrass5.png
424,-1,110,-249,-136,LLM147,TTI_image_anger4.png
425,2,-1,-247,-249,LLM147,TTI_image_ranger1.png
426,-248,124,-157,-2,LLM147,TTI_image_afraid10.png
427,107,-19,-247,-250,LLM147,TTI_image_satisfied9.png
428,1,-85,-248,-248,LLM147,TTI_image_guilt4.png
429,-106,1,-160,-250,LLM147,TTI_image_sad5.png
430,167,-149,-248,-250,LLM147,TTI_image_happy5.png
431,124,-250,-247,-248,LLM147,TTI_image_relaxed2.png
450,-249,249,249,140,LLM169,TTI_image_afraid10.png
451,-249,249,-145,137,LLM169,TTI_image_anger4.png
452,-119,154,-122,148,LLM169,TTI_image_sad5.png
453,181,190,-186,-141,LLM169,TTI_image_pride4.png
454,-110,87,0,-49,LLM169,TTI_image_contempt5.png
455,-104,54,-25,0,LLM169,TTI_image_shame2.png
456,51,-77,-216,-155,LLM169,TTI_image_gratitude4.png
457,-156,162,-248,1,LLM169,TTI_image_ranger1.png
458,77,0,125,-1,LLM169,TTI_image_surprise2.png
459,148,-151,148,-151,LLM169,TTI_image_relaxed2.png
460,156,-141,-188,-125,LLM169,TTI_image_sleepy2.png
461,216,0,209,-119,LLM169,TTI_image_satisfied9.png
462,204,-58,204,-58,LLM169,TTI_image_happy5.png
463,-107,117,-107,117,LLM169,TTI_image_embarrass5.png
464,167,137,183,-145,LLM169,TTI_image_elevation5.png
465,-247,249,215,194,LLM169,TTI_image_disgust1.png
466,-78,131,-80,133,LLM169,TTI_image_guilt4.png
467,-219,198,231,248,LLM169,TTI_image_mdisgust1.png
468,-1,-112,-71,-59,LLM170,TTI_image_gratitude4.png
469,-2,-215,59,-191,LLM170,TTI_image_sleepy2.png
470,-172,158,-159,96,LLM170,TTI_image_contempt5.png
471,18,161,-150,-30,LLM170,TTI_image_ranger1.png
472,126,90,-111,-59,LLM170,TTI_image_pride4.png
473,167,-178,-149,-151,LLM170,TTI_image_relaxed2.png
474,-33,176,-25,-90,LLM170,TTI_image_anger4.png
475,-201,193,-175,-184,LLM170,TTI_image_afraid10.png
476,199,-104,117,93,LLM170,TTI_image_satisfied9.png
477,176,-50,137,56,LLM170,TTI_image_elevation5.png
478,-215,165,-136,-161,LLM170,TTI_image_disgust1.png
479,-102,38,100,43,LLM170,TTI_image_shame2.png
480,-3,2,198,188,LLM170,TTI_image_embarrass5.png
481,-33,-188,-46,-171,LLM170,TTI_image_sad5.png
482,207,-63,157,-60,LLM170,TTI_image_happy5.png
483,201,-1,0,0,LLM170,TTI_image_surprise2.png
484,-113,-2,144,39,LLM170,TTI_image_mdisgust1.png
485,0,101,-41,0,LLM170,TTI_image_guilt4.png
486,-140,156,-68,53,LLM209,TTI_image_afraid10.png
487,-206,197,-78,207,LLM209,TTI_image_anger4.png
488,17,-93,36,-75,LLM209,TTI_image_relaxed2.png
489,-34,-56,-33,20,LLM209,TTI_image_ranger1.png
490,19,-160,150,-81,LLM209,TTI_image_pride4.png
491,-142,-44,18,47,LLM209,TTI_image_shame2.png
492,-169,-39,-71,112,LLM209,TTI_image_mdisgust1.png
493,-124,-31,-142,138,LLM209,TTI_image_guilt4.png
494,-57,-22,118,19,LLM209,TTI_image_contempt5.png
495,-236,227,-159,227,LLM209,TTI_image_disgust1.png
496,38,-157,160,-121,LLM209,TTI_image_sleepy2.png
497,37,58,103,-40,LLM209,TTI_image_elevation5.png
498,28,-77,141,-39,LLM209,TTI_image_happy5.png
499,-177,164,-195,178,LLM209,TTI_image_embarrass5.png
500,86,30,155,-28,LLM209,TTI_image_surprise2.png
501,110,-123,144,-42,LLM209,TTI_image_satisfied9.png
502,-1,-93,-1,-55,LLM209,TTI_image_gratitude4.png
503,-28,-79,-153,57,LLM209,TTI_image_sad5.png
504,-1,-115,3,3,LLM196,TTI_image_sleepy2.png
505,45,-84,-71,-72,LLM196,TTI_image_gratitude4.png
506,-112,47,84,36,LLM196,TTI_image_disgust1.png
507,26,-3,32,-49,LLM196,TTI_image_satisfied9.png
508,-62,-48,63,31,LLM196,TTI_image_mdisgust1.png
509,-60,54,-59,46,LLM196,TTI_image_guilt4.png
510,-66,-57,107,85,LLM196,TTI_image_shame2.png
511,195,150,-204,-182,LLM196,TTI_image_pride4.png
512,-18,-130,-191,19,LLM196,TTI_image_sad5.png
513,-35,203,-118,22,LLM196,TTI_image_ranger1.png
514,-186,33,197,-52,LLM196,TTI_image_afraid10.png
515,146,145,-191,-179,LLM196,TTI_image_surprise2.png
516,-113,-164,164,100,LLM196,TTI_image_happy5.png
